Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 2, 'n_embd': 512, 'window_pattern': 'SSMM'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 12,845,312
  scalars                 : 14
  total                   : 29,622,542
Estimated FLOPs per token: 1.187528e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.010814 | lrm: 1.00 | dt: 16585ms | tok/sec: 3,951 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00849 (47.2%) | loss: 3.339142 | lrm: 0.96 | dt: 169ms | tok/sec: 388,320 | mfu: 4.7% | epoch: 1 | remaining: 158s    
step 00850 (47.3%) | loss: 3.346092 | lrm: 0.96 | dt: 168ms | tok/sec: 391,250 | mfu: 4.7% | epoch: 1 | remaining: 158s    
step 00851 (47.3%) | loss: 3.342878 | lrm: 0.96 | dt: 172ms | tok/sec: 381,941 | mfu: 4.6% | epoch: 1 | remaining: 158s    
step 00852 (47.4%) | loss: 3.350462 | lrm: 0.96 | dt: 169ms | tok/sec: 387,340 | mfu: 4.6% | epoch: 1 | remaining: 158s    
step 00853 (47.5%) | loss: 3.350204 | lrm: 0.96 | dt: 169ms | tok/sec: 388,694 | mfu: 4.7% | epoch: 1 | remaining: 157s    
step 00854 (47.5%) | loss: 3.349175 | lrm: 0.95 | dt: 169ms | tok/sec: 387,581 | mfu: 4.7% | epoch: 1 | remaining: 157s    
step 00855 (47.6%) | loss: 3.358654 | lrm: 0.95 | dt: 170ms | tok/sec: 385,128 | mfu: 4.6% | epoch: 1 | remaining: 157s    
step 00856 (47.6%) | loss: 3.354945 | lrm: 0.95 | dt: 169ms | tok/sec: 388,509 | mfu: 4.7% | epoch: 1 | remaining: 157s    
step 00857 (47.7%) | loss: 3.359027 | lrm: 0.95 | dt: 170ms | tok/sec: 386,615 | mfu: 4.6% | epoch: 1 | remaining: 157s    
step 00858 (47.7%) | loss: 3.365186 | lrm: 0.95 | dt: 168ms | tok/sec: 390,629 | mfu: 4.7% | epoch: 1 | remaining: 157s    
step 00859 (47.8%) | loss: 3.351241 | lrm: 0.95 | dt: 169ms | tok/sec: 387,389 | mfu: 4.6% | epoch: 1 | remaining: 156s    
step 00860 (47.8%) | loss: 3.354546 | lrm: 0.95 | dt: 168ms | tok/sec: 389,772 | mfu: 4.7% | epoch: 1 | remaining: 156s    
step 00861 (47.9%) | loss: 3.346515 | lrm: 0.95 | dt: 169ms | tok/sec: 387,493 | mfu: 4.7% | epoch: 1 | remaining: 156s    
step 00862 (48.0%) | loss: 3.349028 | lrm: 0.95 | dt: 169ms | tok/sec: 387,797 | mfu: 4.7% | epoch: 1 | remaining: 156s    
step 00863 (48.0%) | loss: 3.342490 | lrm: 0.95 | dt: 171ms | tok/sec: 384,036 | mfu: 4.6% | epoch: 1 | remaining: 156s    
step 00864 (48.1%) | loss: 3.350873 | lrm: 0.94 | dt: 169ms | tok/sec: 386,988 | mfu: 4.6% | epoch: 1 | remaining: 156s    
step 00865 (48.1%) | loss: 3.353085 | lrm: 0.94 | dt: 169ms | tok/sec: 388,144 | mfu: 4.7% | epoch: 1 | remaining: 155s    
step 00866 (48.2%) | loss: 3.350395 | lrm: 0.94 | dt: 168ms | tok/sec: 390,385 | mfu: 4.7% | epoch: 1 | remaining: 155s    
step 00867 (48.2%) | loss: 3.350059 | lrm: 0.94 | dt: 168ms | tok/sec: 389,897 | mfu: 4.7% | epoch: 1 | remaining: 155s    
step 00868 (48.3%) | loss: 3.359247 | lrm: 0.94 | dt: 169ms | tok/sec: 387,210 | mfu: 4.6% | epoch: 1 | remaining: 155s    
step 00869 (48.4%) | loss: 3.361884 | lrm: 0.94 | dt: 170ms | tok/sec: 385,043 | mfu: 4.6% | epoch: 1 | remaining: 155s    
step 00870 (48.4%) | loss: 3.358952 | lrm: 0.94 | dt: 169ms | tok/sec: 387,275 | mfu: 4.6% | epoch: 1 | remaining: 155s    
step 00871 (48.5%) | loss: 3.358508 | lrm: 0.94 | dt: 170ms | tok/sec: 385,918 | mfu: 4.6% | epoch: 1 | remaining: 154s    
step 00872 (48.5%) | loss: 3.367075 | lrm: 0.94 | dt: 169ms | tok/sec: 387,323 | mfu: 4.6% | epoch: 1 | remaining: 154s    
step 00873 (48.6%) | loss: 3.368951 | lrm: 0.93 | dt: 169ms | tok/sec: 387,507 | mfu: 4.7% | epoch: 1 | remaining: 154s    
step 00874 (48.6%) | loss: 3.366564 | lrm: 0.93 | dt: 169ms | tok/sec: 387,584 | mfu: 4.7% | epoch: 1 | remaining: 154s    
step 00875 (48.7%) | loss: 3.359295 | lrm: 0.93 | dt: 171ms | tok/sec: 384,312 | mfu: 4.6% | epoch: 1 | remaining: 154s    
step 00876 (48.7%) | loss: 3.352510 | lrm: 0.93 | dt: 169ms | tok/sec: 387,046 | mfu: 4.6% | epoch: 1 | remaining: 154s    
step 00877 (48.8%) | loss: 3.348736 | lrm: 0.93 | dt: 169ms | tok/sec: 388,507 | mfu: 4.7% | epoch: 1 | remaining: 153s    
step 00878 (48.9%) | loss: 3.344062 | lrm: 0.93 | dt: 170ms | tok/sec: 385,997 | mfu: 4.6% | epoch: 1 | remaining: 153s    
step 00879 (48.9%) | loss: 3.339269 | lrm: 0.93 | dt: 169ms | tok/sec: 388,118 | mfu: 4.7% | epoch: 1 | remaining: 153s    
step 00880 (49.0%) | loss: 3.343399 | lrm: 0.93 | dt: 168ms | tok/sec: 390,108 | mfu: 4.7% | epoch: 1 | remaining: 153s    
step 00881 (49.0%) | loss: 3.346918 | lrm: 0.93 | dt: 170ms | tok/sec: 384,717 | mfu: 4.6% | epoch: 1 | remaining: 153s    
step 00882 (49.1%) | loss: 3.349669 | lrm: 0.93 | dt: 169ms | tok/sec: 388,234 | mfu: 4.7% | epoch: 1 | remaining: 153s    
step 00883 (49.1%) | loss: 3.344633 | lrm: 0.92 | dt: 171ms | tok/sec: 383,098 | mfu: 4.6% | epoch: 1 | remaining: 152s    
step 00884 (49.2%) | loss: 3.341418 | lrm: 0.92 | dt: 169ms | tok/sec: 388,812 | mfu: 4.7% | epoch: 1 | remaining: 152s    
step 00885 (49.3%) | loss: 3.346249 | lrm: 0.92 | dt: 169ms | tok/sec: 387,595 | mfu: 4.7% | epoch: 1 | remaining: 152s    
step 00886 (49.3%) | loss: 3.343059 | lrm: 0.92 | dt: 170ms | tok/sec: 386,465 | mfu: 4.6% | epoch: 1 | remaining: 152s    
step 00887 (49.4%) | loss: 3.350013 | lrm: 0.92 | dt: 171ms | tok/sec: 383,235 | mfu: 4.6% | epoch: 1 | remaining: 152s    
step 00888 (49.4%) | loss: 3.344372 | lrm: 0.92 | dt: 168ms | tok/sec: 390,436 | mfu: 4.7% | epoch: 1 | remaining: 152s    
step 00889 (49.5%) | loss: 3.344992 | lrm: 0.92 | dt: 169ms | tok/sec: 388,789 | mfu: 4.7% | epoch: 1 | remaining: 151s    
step 00890 (49.5%) | loss: 3.349330 | lrm: 0.92 | dt: 167ms | tok/sec: 391,685 | mfu: 4.7% | epoch: 1 | remaining: 151s    
step 00891 (49.6%) | loss: 3.340018 | lrm: 0.92 | dt: 172ms | tok/sec: 380,322 | mfu: 4.6% | epoch: 1 | remaining: 151s    
step 00892 (49.7%) | loss: 3.341845 | lrm: 0.92 | dt: 168ms | tok/sec: 390,187 | mfu: 4.7% | epoch: 1 | remaining: 151s    
step 00893 (49.7%) | loss: 3.346121 | lrm: 0.91 | dt: 170ms | tok/sec: 385,585 | mfu: 4.6% | epoch: 1 | remaining: 151s    
step 00894 (49.8%) | loss: 3.345383 | lrm: 0.91 | dt: 169ms | tok/sec: 388,152 | mfu: 4.7% | epoch: 1 | remaining: 151s    
step 00895 (49.8%) | loss: 3.350796 | lrm: 0.91 | dt: 170ms | tok/sec: 385,833 | mfu: 4.6% | epoch: 1 | remaining: 150s    
step 00896 (49.9%) | loss: 3.357832 | lrm: 0.91 | dt: 168ms | tok/sec: 389,358 | mfu: 4.7% | epoch: 1 | remaining: 150s    
step 00897 (49.9%) | loss: 3.361309 | lrm: 0.91 | dt: 169ms | tok/sec: 388,810 | mfu: 4.7% | epoch: 1 | remaining: 150s    
step 00898 (50.0%) | loss: 3.365781 | lrm: 0.91 | dt: 171ms | tok/sec: 384,311 | mfu: 4.6% | epoch: 1 | remaining: 150s    
step 00899 (50.0%) | loss: 3.363103 | lrm: 0.91 | dt: 169ms | tok/sec: 386,886 | mfu: 4.6% | epoch: 1 | remaining: 150s    
step 00900 (50.1%) | loss: 3.352293 | lrm: 0.91 | dt: 173ms | tok/sec: 379,689 | mfu: 4.6% | epoch: 1 | remaining: 150s    
step 00901 (50.2%) | loss: 3.358760 | lrm: 0.91 | dt: 169ms | tok/sec: 387,876 | mfu: 4.7% | epoch: 1 | remaining: 149s    
step 00902 (50.2%) | loss: 3.364493 | lrm: 0.91 | dt: 169ms | tok/sec: 388,084 | mfu: 4.7% | epoch: 1 | remaining: 149s    
step 00903 (50.3%) | loss: 3.365379 | lrm: 0.90 | dt: 169ms | tok/sec: 387,565 | mfu: 4.7% | epoch: 1 | remaining: 149s    
step 00904 (50.3%) | loss: 3.357783 | lrm: 0.90 | dt: 169ms | tok/sec: 388,127 | mfu: 4.7% | epoch: 1 | remaining: 149s    
step 00905 (50.4%) | loss: 3.352217 | lrm: 0.90 | dt: 169ms | tok/sec: 387,526 | mfu: 4.7% | epoch: 1 | remaining: 149s    
step 00906 (50.4%) | loss: 3.353095 | lrm: 0.90 | dt: 169ms | tok/sec: 387,565 | mfu: 4.7% | epoch: 1 | remaining: 149s    
step 00907 (50.5%) | loss: 3.364579 | lrm: 0.90 | dt: 169ms | tok/sec: 387,717 | mfu: 4.7% | epoch: 1 | remaining: 148s    
step 00908 (50.6%) | loss: 3.361560 | lrm: 0.90 | dt: 170ms | tok/sec: 384,880 | mfu: 4.6% | epoch: 1 | remaining: 148s    
step 00909 (50.6%) | loss: 3.346643 | lrm: 0.90 | dt: 167ms | tok/sec: 391,700 | mfu: 4.7% | epoch: 1 | remaining: 148s    
step 00910 (50.7%) | loss: 3.347579 | lrm: 0.90 | dt: 171ms | tok/sec: 384,138 | mfu: 4.6% | epoch: 1 | remaining: 148s    
step 00911 (50.7%) | loss: 3.349093 | lrm: 0.90 | dt: 173ms | tok/sec: 379,029 | mfu: 4.5% | epoch: 1 | remaining: 148s    
step 00912 (50.8%) | loss: 3.359568 | lrm: 0.89 | dt: 169ms | tok/sec: 388,532 | mfu: 4.7% | epoch: 1 | remaining: 147s    
step 00913 (50.8%) | loss: 3.362440 | lrm: 0.89 | dt: 169ms | tok/sec: 386,659 | mfu: 4.6% | epoch: 1 | remaining: 147s    
step 00914 (50.9%) | loss: 3.355921 | lrm: 0.89 | dt: 171ms | tok/sec: 383,349 | mfu: 4.6% | epoch: 1 | remaining: 147s    
step 00915 (51.0%) | loss: 3.359555 | lrm: 0.89 | dt: 167ms | tok/sec: 392,853 | mfu: 4.7% | epoch: 1 | remaining: 147s    
step 00916 (51.0%) | loss: 3.351065 | lrm: 0.89 | dt: 167ms | tok/sec: 392,279 | mfu: 4.7% | epoch: 1 | remaining: 147s    
step 00917 (51.1%) | loss: 3.347952 | lrm: 0.89 | dt: 170ms | tok/sec: 386,072 | mfu: 4.6% | epoch: 1 | remaining: 147s    
step 00918 (51.1%) | loss: 3.345239 | lrm: 0.89 | dt: 167ms | tok/sec: 391,285 | mfu: 4.7% | epoch: 1 | remaining: 146s    
step 00919 (51.2%) | loss: 3.339171 | lrm: 0.89 | dt: 168ms | tok/sec: 390,698 | mfu: 4.7% | epoch: 1 | remaining: 146s    
step 00920 (51.2%) | loss: 3.347893 | lrm: 0.89 | dt: 169ms | tok/sec: 387,398 | mfu: 4.6% | epoch: 1 | remaining: 146s    
step 00921 (51.3%) | loss: 3.351256 | lrm: 0.89 | dt: 167ms | tok/sec: 391,431 | mfu: 4.7% | epoch: 1 | remaining: 146s    
step 00922 (51.3%) | loss: 3.354583 | lrm: 0.88 | dt: 170ms | tok/sec: 385,279 | mfu: 4.6% | epoch: 1 | remaining: 146s    
step 00923 (51.4%) | loss: 3.360130 | lrm: 0.88 | dt: 173ms | tok/sec: 379,838 | mfu: 4.6% | epoch: 1 | remaining: 146s    
step 00924 (51.5%) | loss: 3.356206 | lrm: 0.88 | dt: 168ms | tok/sec: 390,955 | mfu: 4.7% | epoch: 1 | remaining: 145s    
step 00925 (51.5%) | loss: 3.358754 | lrm: 0.88 | dt: 169ms | tok/sec: 388,910 | mfu: 4.7% | epoch: 1 | remaining: 145s    
step 00926 (51.6%) | loss: 3.354290 | lrm: 0.88 | dt: 168ms | tok/sec: 391,164 | mfu: 4.7% | epoch: 1 | remaining: 145s    
step 00927 (51.6%) | loss: 3.363388 | lrm: 0.88 | dt: 168ms | tok/sec: 390,998 | mfu: 4.7% | epoch: 1 | remaining: 145s    
step 00928 (51.7%) | loss: 3.365505 | lrm: 0.88 | dt: 167ms | tok/sec: 391,592 | mfu: 4.7% | epoch: 1 | remaining: 145s    
step 00929 (51.7%) | loss: 3.367522 | lrm: 0.88 | dt: 175ms | tok/sec: 374,234 | mfu: 4.5% | epoch: 1 | remaining: 145s    
step 00930 (51.8%) | loss: 3.367025 | lrm: 0.88 | dt: 176ms | tok/sec: 372,857 | mfu: 4.5% | epoch: 1 | remaining: 144s    
step 00931 (51.9%) | loss: 3.356793 | lrm: 0.88 | dt: 171ms | tok/sec: 384,191 | mfu: 4.6% | epoch: 1 | remaining: 144s    
step 00932 (51.9%) | loss: 3.353311 | lrm: 0.87 | dt: 167ms | tok/sec: 392,751 | mfu: 4.7% | epoch: 1 | remaining: 144s    
step 00933 (52.0%) | loss: 3.362085 | lrm: 0.87 | dt: 168ms | tok/sec: 390,712 | mfu: 4.7% | epoch: 1 | remaining: 144s    
step 00934 (52.0%) | loss: 3.352272 | lrm: 0.87 | dt: 171ms | tok/sec: 383,766 | mfu: 4.6% | epoch: 1 | remaining: 144s    
step 00935 (52.1%) | loss: 3.345685 | lrm: 0.87 | dt: 170ms | tok/sec: 385,065 | mfu: 4.6% | epoch: 1 | remaining: 144s    
step 00936 (52.1%) | loss: 3.332113 | lrm: 0.87 | dt: 168ms | tok/sec: 389,950 | mfu: 4.7% | epoch: 1 | remaining: 143s    
step 00937 (52.2%) | loss: 3.334237 | lrm: 0.87 | dt: 168ms | tok/sec: 390,163 | mfu: 4.7% | epoch: 1 | remaining: 143s    
step 00938 (52.2%) | loss: 3.333014 | lrm: 0.87 | dt: 168ms | tok/sec: 390,467 | mfu: 4.7% | epoch: 1 | remaining: 143s    
step 00939 (52.3%) | loss: 3.334350 | lrm: 0.87 | dt: 167ms | tok/sec: 391,935 | mfu: 4.7% | epoch: 1 | remaining: 143s    
step 00940 (52.4%) | loss: 3.337719 | lrm: 0.87 | dt: 168ms | tok/sec: 389,644 | mfu: 4.7% | epoch: 1 | remaining: 143s    
step 00941 (52.4%) | loss: 3.337399 | lrm: 0.87 | dt: 168ms | tok/sec: 389,529 | mfu: 4.7% | epoch: 1 | remaining: 143s    
step 00942 (52.5%) | loss: 3.341393 | lrm: 0.86 | dt: 167ms | tok/sec: 391,334 | mfu: 4.7% | epoch: 1 | remaining: 142s    
step 00943 (52.5%) | loss: 3.347264 | lrm: 0.86 | dt: 169ms | tok/sec: 388,936 | mfu: 4.7% | epoch: 1 | remaining: 142s    
step 00944 (52.6%) | loss: 3.351492 | lrm: 0.86 | dt: 171ms | tok/sec: 382,398 | mfu: 4.6% | epoch: 1 | remaining: 142s    
step 00945 (52.6%) | loss: 3.361487 | lrm: 0.86 | dt: 174ms | tok/sec: 375,711 | mfu: 4.5% | epoch: 1 | remaining: 142s    
step 00946 (52.7%) | loss: 3.357037 | lrm: 0.86 | dt: 173ms | tok/sec: 378,562 | mfu: 4.5% | epoch: 1 | remaining: 142s    
step 00947 (52.8%) | loss: 3.356784 | lrm: 0.86 | dt: 168ms | tok/sec: 390,619 | mfu: 4.7% | epoch: 1 | remaining: 142s    
step 00948 (52.8%) | loss: 3.359630 | lrm: 0.86 | dt: 168ms | tok/sec: 391,176 | mfu: 4.7% | epoch: 1 | remaining: 141s    
step 00949 (52.9%) | loss: 3.359840 | lrm: 0.86 | dt: 168ms | tok/sec: 389,166 | mfu: 4.7% | epoch: 1 | remaining: 141s    
step 00950 (52.9%) | loss: 3.350091 | lrm: 0.86 | dt: 167ms | tok/sec: 392,529 | mfu: 4.7% | epoch: 1 | remaining: 141s    
step 00951 (53.0%) | loss: 3.354042 | lrm: 0.85 | dt: 169ms | tok/sec: 388,560 | mfu: 4.7% | epoch: 1 | remaining: 141s    
step 00952 (53.0%) | loss: 3.347581 | lrm: 0.85 | dt: 169ms | tok/sec: 388,248 | mfu: 4.7% | epoch: 1 | remaining: 141s    
step 00953 (53.1%) | loss: 3.339016 | lrm: 0.85 | dt: 169ms | tok/sec: 388,774 | mfu: 4.7% | epoch: 1 | remaining: 141s    
step 00954 (53.1%) | loss: 3.336444 | lrm: 0.85 | dt: 167ms | tok/sec: 391,619 | mfu: 4.7% | epoch: 1 | remaining: 140s    
step 00955 (53.2%) | loss: 3.337019 | lrm: 0.85 | dt: 168ms | tok/sec: 391,164 | mfu: 4.7% | epoch: 1 | remaining: 140s    
step 00956 (53.3%) | loss: 3.331380 | lrm: 0.85 | dt: 169ms | tok/sec: 388,878 | mfu: 4.7% | epoch: 1 | remaining: 140s    
step 00957 (53.3%) | loss: 3.327108 | lrm: 0.85 | dt: 168ms | tok/sec: 389,497 | mfu: 4.7% | epoch: 1 | remaining: 140s    
step 00958 (53.4%) | loss: 3.326494 | lrm: 0.85 | dt: 169ms | tok/sec: 387,336 | mfu: 4.6% | epoch: 1 | remaining: 140s    
step 00959 (53.4%) | loss: 3.330149 | lrm: 0.85 | dt: 168ms | tok/sec: 389,439 | mfu: 4.7% | epoch: 1 | remaining: 140s    
step 00960 (53.5%) | loss: 3.324369 | lrm: 0.85 | dt: 167ms | tok/sec: 391,536 | mfu: 4.7% | epoch: 1 | remaining: 139s    
step 00961 (53.5%) | loss: 3.327663 | lrm: 0.84 | dt: 168ms | tok/sec: 390,394 | mfu: 4.7% | epoch: 1 | remaining: 139s    
step 00962 (53.6%) | loss: 3.334163 | lrm: 0.84 | dt: 167ms | tok/sec: 392,232 | mfu: 4.7% | epoch: 1 | remaining: 139s    
step 00963 (53.7%) | loss: 3.334394 | lrm: 0.84 | dt: 168ms | tok/sec: 389,734 | mfu: 4.7% | epoch: 1 | remaining: 139s    
step 00964 (53.7%) | loss: 3.334006 | lrm: 0.84 | dt: 168ms | tok/sec: 388,940 | mfu: 4.7% | epoch: 1 | remaining: 139s    
step 00965 (53.8%) | loss: 3.334299 | lrm: 0.84 | dt: 167ms | tok/sec: 391,657 | mfu: 4.7% | epoch: 1 | remaining: 139s    
step 00966 (53.8%) | loss: 3.333626 | lrm: 0.84 | dt: 168ms | tok/sec: 389,090 | mfu: 4.7% | epoch: 1 | remaining: 138s    
step 00967 (53.9%) | loss: 3.335874 | lrm: 0.84 | dt: 167ms | tok/sec: 392,357 | mfu: 4.7% | epoch: 1 | remaining: 138s    
step 00968 (53.9%) | loss: 3.341111 | lrm: 0.84 | dt: 168ms | tok/sec: 390,537 | mfu: 4.7% | epoch: 1 | remaining: 138s    
step 00969 (54.0%) | loss: 3.338084 | lrm: 0.84 | dt: 169ms | tok/sec: 387,327 | mfu: 4.6% | epoch: 1 | remaining: 138s    
step 00970 (54.0%) | loss: 3.340371 | lrm: 0.84 | dt: 169ms | tok/sec: 387,507 | mfu: 4.7% | epoch: 1 | remaining: 138s    
step 00971 (54.1%) | loss: 3.341493 | lrm: 0.83 | dt: 167ms | tok/sec: 391,919 | mfu: 4.7% | epoch: 1 | remaining: 138s    
step 00972 (54.2%) | loss: 3.339490 | lrm: 0.83 | dt: 168ms | tok/sec: 389,040 | mfu: 4.7% | epoch: 1 | remaining: 137s    
step 00973 (54.2%) | loss: 3.331370 | lrm: 0.83 | dt: 168ms | tok/sec: 390,537 | mfu: 4.7% | epoch: 1 | remaining: 137s    
step 00974 (54.3%) | loss: 3.329460 | lrm: 0.83 | dt: 167ms | tok/sec: 392,361 | mfu: 4.7% | epoch: 1 | remaining: 137s    
step 00975 (54.3%) | loss: 3.325515 | lrm: 0.83 | dt: 168ms | tok/sec: 390,848 | mfu: 4.7% | epoch: 1 | remaining: 137s    
step 00976 (54.4%) | loss: 3.315506 | lrm: 0.83 | dt: 169ms | tok/sec: 386,987 | mfu: 4.6% | epoch: 1 | remaining: 137s    
step 00977 (54.4%) | loss: 3.317598 | lrm: 0.83 | dt: 168ms | tok/sec: 390,942 | mfu: 4.7% | epoch: 1 | remaining: 137s    
step 00978 (54.5%) | loss: 3.307448 | lrm: 0.83 | dt: 168ms | tok/sec: 390,307 | mfu: 4.7% | epoch: 1 | remaining: 136s    
step 00979 (54.5%) | loss: 3.291900 | lrm: 0.83 | dt: 168ms | tok/sec: 390,268 | mfu: 4.7% | epoch: 1 | remaining: 136s    
step 00980 (54.6%) | loss: 3.290175 | lrm: 0.83 | dt: 168ms | tok/sec: 389,610 | mfu: 4.7% | epoch: 1 | remaining: 136s    
step 00981 (54.7%) | loss: 3.278754 | lrm: 0.82 | dt: 169ms | tok/sec: 388,639 | mfu: 4.7% | epoch: 1 | remaining: 136s    
step 00982 (54.7%) | loss: 3.278977 | lrm: 0.82 | dt: 169ms | tok/sec: 386,922 | mfu: 4.6% | epoch: 1 | remaining: 136s    
step 00983 (54.8%) | loss: 3.279952 | lrm: 0.82 | dt: 168ms | tok/sec: 391,232 | mfu: 4.7% | epoch: 1 | remaining: 136s    
step 00984 (54.8%) | loss: 3.279376 | lrm: 0.82 | dt: 167ms | tok/sec: 391,938 | mfu: 4.7% | epoch: 1 | remaining: 135s    
step 00985 (54.9%) | loss: 3.279717 | lrm: 0.82 | dt: 168ms | tok/sec: 390,127 | mfu: 4.7% | epoch: 1 | remaining: 135s    
step 00986 (54.9%) | loss: 3.278936 | lrm: 0.82 | dt: 168ms | tok/sec: 391,149 | mfu: 4.7% | epoch: 1 | remaining: 135s    
step 00987 (55.0%) | loss: 3.285302 | lrm: 0.82 | dt: 167ms | tok/sec: 391,587 | mfu: 4.7% | epoch: 1 | remaining: 135s    
step 00988 (55.1%) | loss: 3.285181 | lrm: 0.82 | dt: 171ms | tok/sec: 383,783 | mfu: 4.6% | epoch: 1 | remaining: 135s    
step 00989 (55.1%) | loss: 3.283863 | lrm: 0.82 | dt: 168ms | tok/sec: 390,170 | mfu: 4.7% | epoch: 1 | remaining: 135s    
step 00990 (55.2%) | loss: 3.283892 | lrm: 0.82 | dt: 167ms | tok/sec: 391,385 | mfu: 4.7% | epoch: 1 | remaining: 134s    
step 00991 (55.2%) | loss: 3.293896 | lrm: 0.81 | dt: 167ms | tok/sec: 392,271 | mfu: 4.7% | epoch: 1 | remaining: 134s    
step 00992 (55.3%) | loss: 3.300843 | lrm: 0.81 | dt: 169ms | tok/sec: 388,450 | mfu: 4.7% | epoch: 1 | remaining: 134s    
step 00993 (55.3%) | loss: 3.291722 | lrm: 0.81 | dt: 171ms | tok/sec: 383,504 | mfu: 4.6% | epoch: 1 | remaining: 134s    
step 00994 (55.4%) | loss: 3.297601 | lrm: 0.81 | dt: 172ms | tok/sec: 382,025 | mfu: 4.6% | epoch: 1 | remaining: 134s    
step 00995 (55.4%) | loss: 3.298158 | lrm: 0.81 | dt: 168ms | tok/sec: 390,442 | mfu: 4.7% | epoch: 1 | remaining: 133s    
step 00996 (55.5%) | loss: 3.300019 | lrm: 0.81 | dt: 168ms | tok/sec: 390,485 | mfu: 4.7% | epoch: 1 | remaining: 133s    
step 00997 (55.6%) | loss: 3.308454 | lrm: 0.81 | dt: 167ms | tok/sec: 391,688 | mfu: 4.7% | epoch: 1 | remaining: 133s    
step 00998 (55.6%) | loss: 3.303673 | lrm: 0.81 | dt: 167ms | tok/sec: 391,508 | mfu: 4.7% | epoch: 1 | remaining: 133s    
step 00999 (55.7%) | loss: 3.314849 | lrm: 0.81 | dt: 168ms | tok/sec: 389,529 | mfu: 4.7% | epoch: 1 | remaining: 133s    
step 01000 (55.7%) | loss: 3.317160 | lrm: 0.80 | dt: 169ms | tok/sec: 387,588 | mfu: 4.7% | epoch: 1 | remaining: 133s    
step 01001 (55.8%) | loss: 3.318418 | lrm: 0.80 | dt: 168ms | tok/sec: 391,175 | mfu: 4.7% | epoch: 1 | remaining: 132s    
step 01002 (55.8%) | loss: 3.311603 | lrm: 0.80 | dt: 168ms | tok/sec: 390,289 | mfu: 4.7% | epoch: 1 | remaining: 132s    
step 01003 (55.9%) | loss: 3.316063 | lrm: 0.80 | dt: 167ms | tok/sec: 392,141 | mfu: 4.7% | epoch: 1 | remaining: 132s    
step 01004 (56.0%) | loss: 3.330153 | lrm: 0.80 | dt: 168ms | tok/sec: 391,062 | mfu: 4.7% | epoch: 1 | remaining: 132s    
step 01005 (56.0%) | loss: 3.315132 | lrm: 0.80 | dt: 170ms | tok/sec: 384,530 | mfu: 4.6% | epoch: 1 | remaining: 132s    
step 01006 (56.1%) | loss: 3.313888 | lrm: 0.80 | dt: 169ms | tok/sec: 387,792 | mfu: 4.7% | epoch: 1 | remaining: 132s    
step 01007 (56.1%) | loss: 3.316896 | lrm: 0.80 | dt: 168ms | tok/sec: 390,519 | mfu: 4.7% | epoch: 1 | remaining: 131s    
step 01008 (56.2%) | loss: 3.310905 | lrm: 0.80 | dt: 168ms | tok/sec: 390,016 | mfu: 4.7% | epoch: 1 | remaining: 131s    
step 01009 (56.2%) | loss: 3.303606 | lrm: 0.80 | dt: 167ms | tok/sec: 391,470 | mfu: 4.7% | epoch: 1 | remaining: 131s    
step 01010 (56.3%) | loss: 3.296662 | lrm: 0.79 | dt: 167ms | tok/sec: 392,030 | mfu: 4.7% | epoch: 1 | remaining: 131s    
step 01011 (56.3%) | loss: 3.298556 | lrm: 0.79 | dt: 168ms | tok/sec: 389,471 | mfu: 4.7% | epoch: 1 | remaining: 131s    
step 01012 (56.4%) | loss: 3.298538 | lrm: 0.79 | dt: 169ms | tok/sec: 387,689 | mfu: 4.7% | epoch: 1 | remaining: 131s    
step 01013 (56.5%) | loss: 3.294885 | lrm: 0.79 | dt: 171ms | tok/sec: 384,234 | mfu: 4.6% | epoch: 1 | remaining: 130s    
step 01014 (56.5%) | loss: 3.300391 | lrm: 0.79 | dt: 176ms | tok/sec: 373,323 | mfu: 4.5% | epoch: 1 | remaining: 130s    
step 01015 (56.6%) | loss: 3.297546 | lrm: 0.79 | dt: 173ms | tok/sec: 378,427 | mfu: 4.5% | epoch: 1 | remaining: 130s    
step 01016 (56.6%) | loss: 3.294091 | lrm: 0.79 | dt: 172ms | tok/sec: 381,718 | mfu: 4.6% | epoch: 1 | remaining: 130s    
step 01017 (56.7%) | loss: 3.293955 | lrm: 0.79 | dt: 175ms | tok/sec: 374,850 | mfu: 4.5% | epoch: 1 | remaining: 130s    
step 01018 (56.7%) | loss: 3.295765 | lrm: 0.79 | dt: 173ms | tok/sec: 379,367 | mfu: 4.6% | epoch: 1 | remaining: 130s    
step 01019 (56.8%) | loss: 3.286890 | lrm: 0.79 | dt: 170ms | tok/sec: 386,380 | mfu: 4.6% | epoch: 1 | remaining: 129s    
step 01020 (56.9%) | loss: 3.298979 | lrm: 0.78 | dt: 169ms | tok/sec: 388,412 | mfu: 4.7% | epoch: 1 | remaining: 129s    
